Create generator with 41833481 parameters
Started epoch 0001/0250: Create generator with 41833481 parameters
Started epoch 0001/0250: loss: 0.537208, val_loss: 0.405969, lr: 0.0002000
Started epoch 0002/0250: loss: 0.537208, val_loss: 0.405969, lr: 0.0002000
Started epoch 0002/0250: loss: 0.377154, val_loss: 0.354750, lr: 0.0002000
Started epoch 0003/0250: loss: 0.377154, val_loss: 0.354750, lr: 0.0002000
Started epoch 0003/0250: loss: 0.344544, val_loss: 0.334136, lr: 0.0002000
Started epoch 0004/0250: loss: 0.319432, val_loss: 0.304207, lr: 0.0002000
Started epoch 0005/0250: loss: 0.319432, val_loss: 0.304207, lr: 0.0002000
Started epoch 0005/0250: loss: 0.297992, val_loss: 0.290798, lr: 0.0002000
Started epoch 0006/0250: loss: 0.297992, val_loss: 0.290798, lr: 0.0002000
Started epoch 0006/0250: loss: 0.289283, val_loss: 0.291826, lr: 0.0002000
Started epoch 0007/0250: loss: 0.273163, val_loss: 0.274482, lr: 0.0002000
Started epoch 0008/0250: loss: 0.266422, val_loss: 0.263530, lr: 0.0002000
Started epoch 0009/0250: loss: 0.266422, val_loss: 0.263530, lr: 0.0002000
Started epoch 0009/0250: loss: 0.260111, val_loss: 0.261694, lr: 0.0002000
Started epoch 0010/0250: loss: 0.250799, val_loss: 0.261084, lr: 0.0002000
Started epoch 0011/0250: loss: 0.256604, val_loss: 0.252757, lr: 0.0002000
Started epoch 0012/0250: loss: 0.256604, val_loss: 0.252757, lr: 0.0002000
Started epoch 0012/0250: loss: 0.243057, val_loss: 0.251364, lr: 0.0002000
Started epoch 0013/0250: loss: 0.243057, val_loss: 0.251364, lr: 0.0002000
Started epoch 0013/0250: loss: 0.241007, val_loss: 0.247810, lr: 0.0002000
Started epoch 0014/0250: loss: 0.241007, val_loss: 0.247810, lr: 0.0002000
Started epoch 0014/0250: loss: 0.232631, val_loss: 0.247028, lr: 0.0002000
Started epoch 0015/0250: loss: 0.247137, val_loss: 0.243104, lr: 0.0002000
Started epoch 0016/0250: loss: 0.224205, val_loss: 0.238929, lr: 0.0002000
Started epoch 0017/0250: loss: 0.221003, val_loss: 0.239848, lr: 0.0002000
Started epoch 0018/0250: loss: 0.219204, val_loss: 0.232315, lr: 0.0002000
Started epoch 0019/0250: loss: 0.219257, val_loss: 0.248804, lr: 0.0002000
Started epoch 0020/0250: loss: 0.216347, val_loss: 0.234451, lr: 0.0002000
Started epoch 0021/0250: loss: 0.209953, val_loss: 0.225628, lr: 0.0002000
Started epoch 0022/0250: loss: 0.205863, val_loss: 0.230487, lr: 0.0002000
Started epoch 0023/0250: loss: 0.203041, val_loss: 0.230533, lr: 0.0002000
Started epoch 0024/0250: loss: 0.200704, val_loss: 0.237265, lr: 0.0002000
Started epoch 0025/0250: loss: 0.201203, val_loss: 0.230068, lr: 0.0002000
Started epoch 0026/0250: loss: 0.200447, val_loss: 0.231972, lr: 0.0002000
Started epoch 0027/0250: loss: 0.193020, val_loss: 0.225339, lr: 0.0002000
Started epoch 0028/0250: loss: 0.198532, val_loss: 0.223624, lr: 0.0002000
Started epoch 0029/0250: loss: 0.190048, val_loss: 0.227286, lr: 0.0002000
Started epoch 0030/0250: loss: 0.190048, val_loss: 0.227286, lr: 0.0002000
Started epoch 0030/0250: loss: 0.183790, val_loss: 0.241986, lr: 0.0002000
loss: 0.183790, val_loss: 0.241986, lr: 0.0002000
Started epoch 0031/0250: loss: 0.183103, val_loss: 0.227867, lr: 0.0002000
Started epoch 0032/0250: loss: 0.178802, val_loss: 0.225037, lr: 0.0002000
Started epoch 0033/0250: loss: 0.177799, val_loss: 0.230004, lr: 0.0002000
Started epoch 0034/0250: loss: 0.179933, val_loss: 0.228529, lr: 0.0002000
Started epoch 0035/0250: loss: 0.179933, val_loss: 0.228529, lr: 0.0002000
Started epoch 0035/0250: loss: 0.177868, val_loss: 0.229931, lr: 0.0002000
Started epoch 0036/0250: loss: 0.177868, val_loss: 0.229931, lr: 0.0002000
Started epoch 0036/0250: loss: 0.176393, val_loss: 0.221594, lr: 0.0002000
Started epoch 0037/0250: loss: 0.173261, val_loss: 0.224244, lr: 0.0002000
Started epoch 0038/0250: loss: 0.173328, val_loss: 0.228893, lr: 0.0002000
Started epoch 0039/0250: loss: 0.166060, val_loss: 0.226043, lr: 0.0002000
Started epoch 0040/0250: loss: 0.173617, val_loss: 0.236359, lr: 0.0002000
loss: 0.173328, val_loss: 0.228893, lr: 0.0002000
Started epoch 0039/0250: loss: 0.166060, val_loss: 0.226043, lr: 0.0002000
Started epoch 0040/0250: loss: 0.173617, val_loss: 0.236359, lr: 0.0002000
Started epoch 0041/0250: loss: 0.165727, val_loss: 0.229516, lr: 0.0002000
Started epoch 0042/0250: loss: 0.167219, val_loss: 0.224007, lr: 0.0002000
Started epoch 0043/0250: loss: 0.161580, val_loss: 0.220994, lr: 0.0002000
Started epoch 0044/0250: loss: 0.174894, val_loss: 0.220844, lr: 0.0002000
Started epoch 0045/0250: loss: 0.159533, val_loss: 0.220290, lr: 0.0002000
Started epoch 0046/0250: loss: 0.159226, val_loss: 0.222297, lr: 0.0002000
Started epoch 0047/0250: loss: 0.159620, val_loss: 0.219903, lr: 0.0002000
Started epoch 0048/0250: loss: 0.160777, val_loss: 0.219459, lr: 0.0002000
Started epoch 0049/0250: loss: 0.160777, val_loss: 0.219459, lr: 0.0002000
Started epoch 0049/0250: loss: 0.158056, val_loss: 0.221409, lr: 0.0002000
